index,category,filename,path,source_url,normalized_url,original_name,alt_text,width,height,content_type,bytes,sha256,status,note
664,uncategorized,664-uncategorized-img-1794.jpg,uncategorized/664-uncategorized-img-1794.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/d1ca41e0-b635-4a54-a3b4-a1ae1e762b7f/IMG_1794.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/d1ca41e0-b635-4a54-a3b4-a1ae1e762b7f/IMG_1794.jpeg?format=2500w,IMG_1794.jpeg,,640,480,image/jpeg,101791,d08a7f265fbdaea1e6a8e7fa2f31b8e979b403ad0e0591080b883fafa0045155,downloaded,
665,uncategorized,665-uncategorized-img-1796.jpg,uncategorized/665-uncategorized-img-1796.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/119566a6-84e1-44eb-af53-19fea8b43543/IMG_1796.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/119566a6-84e1-44eb-af53-19fea8b43543/IMG_1796.jpeg?format=2500w,IMG_1796.jpeg,,640,480,image/jpeg,94101,8b2ab429929f7be7bcd43c6771059d9c7fc8f067239f8cc429aa68fd4394b530,downloaded,
666,uncategorized,666-uncategorized-img-1798.jpg,uncategorized/666-uncategorized-img-1798.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/a7791fe1-bb5e-447e-ab19-98826dc32e95/IMG_1798.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/a7791fe1-bb5e-447e-ab19-98826dc32e95/IMG_1798.jpeg?format=2500w,IMG_1798.jpeg,,480,640,image/jpeg,106926,39edfa78f1a7996c5b5c541772e78528c8d5abf3b7bc90f451096303036134b1,downloaded,
667,uncategorized,667-uncategorized-img-1799.jpg,uncategorized/667-uncategorized-img-1799.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e71e29ed-b565-4950-a504-35f408b4324e/IMG_1799.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e71e29ed-b565-4950-a504-35f408b4324e/IMG_1799.jpeg?format=2500w,IMG_1799.jpeg,,480,640,image/jpeg,81235,3ef98b0024fcb924131775a5c009c3f2166c38029f617cae9db9797e0996dc9f,downloaded,
668,uncategorized,668-uncategorized-img-1800.jpg,uncategorized/668-uncategorized-img-1800.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/4fae36e2-a43c-410d-91f0-bcd2fe234843/IMG_1800.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/4fae36e2-a43c-410d-91f0-bcd2fe234843/IMG_1800.jpeg?format=2500w,IMG_1800.jpeg,,640,480,image/jpeg,93672,b8fdbdded40f3e1339f113bc5521ba05f2a0e95f571e9513d815866869043475,downloaded,
669,uncategorized,669-uncategorized-img-1801.jpg,uncategorized/669-uncategorized-img-1801.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/f4354786-279b-4057-acd7-b63473e618f5/IMG_1801.jpeg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/f4354786-279b-4057-acd7-b63473e618f5/IMG_1801.jpeg?format=2500w,IMG_1801.jpeg,,640,480,image/jpeg,97328,c25771e8bf3ed42610a2052049f42a08f7adeda4ae49841abd9e30059249ed97,downloaded,
670,uncategorized,670-uncategorized-drone-shot.jpg,uncategorized/670-uncategorized-drone-shot.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/bf6b1670-2cfa-4e3d-87ea-199491d7207c/DRONE+SHOT.JPG?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/bf6b1670-2cfa-4e3d-87ea-199491d7207c/DRONE+SHOT.JPG?format=2500w,DRONE+SHOT.JPG,,2736,1540,image/jpeg,706778,6dc46c19fb4f034196ed61466586cd2d67ba1ebd2fea21da19f804f565c4af43,downloaded,
671,uncategorized,671-uncategorized-front-right-view.jpg,uncategorized/671-uncategorized-front-right-view.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/0b979f1e-d9a2-4e78-8aa5-bd73f7dabffb/FRONT+RIGHT+VIEW.JPG?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/0b979f1e-d9a2-4e78-8aa5-bd73f7dabffb/FRONT+RIGHT+VIEW.JPG?format=2500w,FRONT+RIGHT+VIEW.JPG,,640,186,image/jpeg,26338,0ddc4b73a5ddfc11b82b2254d81892a413aac4a4e7dfa275554c2484a085ba2a,downloaded,
672,uncategorized,672-uncategorized-front-view-close.jpg,uncategorized/672-uncategorized-front-view-close.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/2a323a83-3bdb-4cf4-8774-660c2158ed32/FRONT+VIEW+-+CLOSE.JPG?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/2a323a83-3bdb-4cf4-8774-660c2158ed32/FRONT+VIEW+-+CLOSE.JPG?format=2500w,FRONT+VIEW+-+CLOSE.JPG,,640,480,image/jpeg,72348,57c5f825bda55fab306e17edf9f3c3f03f93ea9805750380d3ab92de3d454252,downloaded,
673,design-renders,673-design-renders-zemanek-aerial-re-design-1.jpg,design-renders/673-design-renders-zemanek-aerial-re-design-1.jpg,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e02b7227-733a-4a58-ab44-318aaec6f6fb/ZEMANEK+-+AERIAL+RE-DESIGN+-+1.jpg?format=2500w,https://images.squarespace-cdn.com/content/v1/69c5a11e96202f6b36529e03/e02b7227-733a-4a58-ab44-318aaec6f6fb/ZEMANEK+-+AERIAL+RE-DESIGN+-+1.jpg?format=2500w,ZEMANEK+-+AERIAL+RE-DESIGN+-+1.jpg,,1280,720,image/jpeg,186731,d294ad141dcdc79f72dfbf0ab3acba5648da02efeb0c335475b07b8c23b13f2f,downloaded,
